pl_name,hostname,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmax_reflink,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbper_reflink,disc_year,discoverymethod
"51 Peg b","51 Peg",1,0.0520000000,,,0,"<a refstr=CONT_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...710A.345C/abstract target=ref>Cont et al. 2026</a>",4.23079660000,0.00000270000,-0.00000270000,0,"<a refstr=CONT_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...710A.345C/abstract target=ref>Cont et al. 2026</a>",1995,"Radial Velocity"
"HD 209458 b","HD 209458",1,0.0470700000,0.0004500000,-0.0004700000,0,"<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>",3.52474859000,0.00000038000,-0.00000038000,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",1999,"Radial Velocity"
"K2-18 c","K2-18",2,0.0600000000,0.0030000000,-0.0030000000,0,"<a refstr=CLOUTIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..35C/abstract target=ref>Cloutier et al. 2017</a>",8.96200000000,0.00800000000,-0.00800000000,0,"<a refstr=CLOUTIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..35C/abstract target=ref>Cloutier et al. 2017</a>",2017,"Radial Velocity"
"K2-18 b","K2-18",2,0.1429000000,0.0060000000,-0.0065000000,0,"<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>",32.93962300000,0.00009500000,-0.00010000000,0,"<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>",2015,"Transit"
"Kepler-186 b","Kepler-186",5,0.0343000000,0.0046000000,-0.0046000000,0,"<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>",3.88679070000,0.00000620000,-0.00000630000,0,"<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>",2014,"Transit"
"Kepler-186 c","Kepler-186",5,0.0451000000,0.0070000000,-0.0070000000,0,"<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>",7.26730200000,0.00001200000,-0.00001100000,0,"<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>",2014,"Transit"
"Kepler-186 d","Kepler-186",5,0.0781000000,0.0100000000,-0.0100000000,0,"<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>",13.34299600000,0.00002500000,-0.00002400000,0,"<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>",2014,"Transit"
"Kepler-186 e","Kepler-186",5,0.1100000000,0.0150000000,-0.0150000000,0,"<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>",22.40770400000,0.00007400000,-0.00007200000,0,"<a refstr=QUINTANA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...344..277Q/abstract target=ref> Quintana et al. 2014 </a>",2014,"Transit"
"Kepler-186 f","Kepler-186",5,0.4320000000,0.1710000000,-0.0530000000,0,"<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>",129.94410000000,0.00130000000,-0.00120000000,0,"<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>",2014,"Transit"
"Kepler-452 b","Kepler-452",1,1.0460000000,0.0190000000,-0.0150000000,0,"<a refstr=JENKINS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...56J/abstract target=ref>Jenkins et al. 2015</a>",384.84300000000,0.00700000000,-0.01200000000,0,"<a refstr=JENKINS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...56J/abstract target=ref>Jenkins et al. 2015</a>",2015,"Transit"
