messier_number,canonical_name,slug,canonical_entity_type,target_scope,coordinate_role,requested_identifier,oid,main_id,otype,ra,dec,coo_qual,coo_bibcode
1,Messier 1,messier-1,nebula,object,provider_record_catalogue_anchor,M   1,795871,M   1,SNR,83.6324,22.0174,D,2022A&A...661A..38P
2,Messier 2,messier-2,cluster,object,provider_record_catalogue_anchor,M   2,1361420,M   2,GlC,323.36258333333336,-0.8232499999999998,D,2010AJ....140.1830G
3,Messier 3,messier-3,cluster,object,provider_record_catalogue_anchor,M   3,2194447,M   3,GlC,205.5484166666666,28.37727777777778,D,2010AJ....140.1830G
4,Messier 4,messier-4,cluster,object,provider_record_catalogue_anchor,M   4,2406698,M   4,GlC,245.89675000000003,-26.525750000000002,D,2010AJ....140.1830G
5,Messier 5,messier-5,cluster,object,provider_record_catalogue_anchor,M   5,2648987,M   5,GlC,229.63841666666673,2.081027777777778,D,2010AJ....140.1830G
6,Messier 6,messier-6,cluster,object,provider_record_catalogue_anchor,M   6,2384496,NGC  6405,OpC,265.06916666666666,-32.24194444444445,E,2021A&A...647A..19T
7,Messier 7,messier-7,cluster,object,provider_record_catalogue_anchor,M   7,2369052,NGC  6475,OpC,268.44708333333335,-34.84111111111112,E,2021A&A...647A..19T
8,Messier 8,messier-8,nebula,extended,provider_record_catalogue_anchor,M   8,2516412,M   8,OpC,270.90416666666664,-24.386666666666667,E,
9,Messier 9,messier-9,cluster,object,provider_record_catalogue_anchor,M   9,2546940,M   9,GlC,259.79908333333333,-18.51625,D,2002MNRAS.332..441F
10,Messier 10,messier-10,cluster,object,provider_record_catalogue_anchor,M  10,2623868,M  10,GlC,254.28770833333337,-4.100305555555555,D,2010AJ....140.1830G
11,Messier 11,messier-11,cluster,object,provider_record_catalogue_anchor,M  11,2613692,NGC  6705,OpC,282.7658333333334,-6.271944444444443,E,2021A&A...647A..19T
12,Messier 12,messier-12,cluster,object,provider_record_catalogue_anchor,M  12,2637140,M  12,GlC,251.80908333333338,-1.9485277777777774,D,2010AJ....140.1830G
13,Messier 13,messier-13,cluster,object,provider_record_catalogue_anchor,M  13,2894585,M  13,GlC,250.42347499999994,36.46131944444445,C,2006AJ....131.1163S
14,Messier 14,messier-14,cluster,object,provider_record_catalogue_anchor,M  14,2624973,M  14,GlC,264.40062500000005,-3.245916666666667,D,2006MNRAS.365.1357D
15,Messier 15,messier-15,cluster,object,provider_record_catalogue_anchor,M  15,1444421,M  15,GlC,322.49304166666667,12.166999999999998,D,2010AJ....140.1830G
16,Messier 16,messier-16,nebula,compound,provider_record_catalogue_anchor,M  16,2585552,M  16,OpC,274.688,-13.792,E,2021A&A...647A..19T
17,Messier 17,messier-17,nebula,extended,provider_record_catalogue_anchor,M  17,2566212,NGC  6618,OpC,275.1958333333333,-16.171666666666663,E,2009MNRAS.399.2146W
18,Messier 18,messier-18,cluster,object,provider_record_catalogue_anchor,M  18,2551124,M  18,OpC,274.9875,-17.088333333333335,E,2020A&A...633A..99C
19,Messier 19,messier-19,cluster,object,provider_record_catalogue_anchor,M  19,2490322,M  19,GlC,255.65704166666666,-26.267944444444442,D,2006MNRAS.365.1357D
20,Messier 20,messier-20,nebula,extended,provider_record_catalogue_anchor,M  20,2517890,M  20,OpC,270.675,-22.971666666666664,E,2009MNRAS.399.2146W
21,Messier 21,messier-21,cluster,object,provider_record_catalogue_anchor,M  21,2535882,M  21,OpC,271.0358333333333,-22.505,E,2021A&A...647A..19T
22,Messier 22,messier-22,cluster,object,provider_record_catalogue_anchor,M  22,2522962,M  22,GlC,279.09975000000003,-23.90475,D,2010AJ....140.1830G
23,Messier 23,messier-23,cluster,object,provider_record_catalogue_anchor,M  23,2548469,M  23,OpC,269.2370833333333,-18.98694444444445,E,2021A&A...647A..19T
24,Messier 24,messier-24,sky_region,region,provider_record_catalogue_anchor,M  24,5375405,M  24,As*,274.2,-18.55,E,2004yCat.7239....0C
25,Messier 25,messier-25,cluster,object,provider_record_catalogue_anchor,M  25,2552791,IC 4725,OpC,277.93708333333325,-19.113888888888887,E,2021A&A...647A..19T
26,Messier 26,messier-26,cluster,object,provider_record_catalogue_anchor,M  26,2601047,M  26,OpC,281.31708333333336,-9.386111111111113,E,2021A&A...647A..19T
27,Messier 27,messier-27,nebula,object,provider_record_catalogue_anchor,M  27,2808552,M  27,PN,299.90151327087,22.721197794319995,A,2020yCat.1350....0G
28,Messier 28,messier-28,cluster,object,provider_record_catalogue_anchor,M  28,2520602,M  28,GlC,276.1370416666666,-24.869833333333332,D,2006MNRAS.365.1357D
29,Messier 29,messier-29,cluster,object,provider_record_catalogue_anchor,M  29,2956537,M  29,OpC,305.94166666666666,38.486666666666665,E,2020A&A...633A..99C
30,Messier 30,messier-30,cluster,object,provider_record_catalogue_anchor,M  30,1252437,M  30,GlC,325.0921666666667,-23.17986111111111,D,2010AJ....140.1830G
31,Messier 31,messier-31,galaxy,object,provider_record_catalogue_anchor,M  31,1575544,M  31,AGN,10.684708333333333,41.268750000000004,C,2006AJ....131.1163S
32,Messier 32,messier-32,galaxy,object,provider_record_catalogue_anchor,M  32,1569144,M  32,GiG,10.67427,40.86517,C,2006AJ....131.1163S
33,Messier 33,messier-33,galaxy,object,provider_record_catalogue_anchor,M  33,1522778,M  33,GiG,23.46206906218,30.660175111980003,A,2020yCat.1350....0G
34,Messier 34,messier-34,cluster,object,provider_record_catalogue_anchor,M  34,27611,NGC  1039,OpC,40.53083333333333,42.721944444444446,E,2021A&A...647A..19T
35,Messier 35,messier-35,cluster,object,provider_record_catalogue_anchor,M  35,856514,NGC  2168,OpC,92.27208333333334,24.336111111111105,E,2021A&A...647A..19T
36,Messier 36,messier-36,cluster,object,provider_record_catalogue_anchor,M  36,792981,M  36,OpC,84.08416666666666,34.135,E,2021A&A...647A..19T
37,Messier 37,messier-37,cluster,object,provider_record_catalogue_anchor,M  37,836902,M  37,OpC,88.07416666666667,32.54499999999999,E,2021A&A...647A..19T
38,Messier 38,messier-38,cluster,object,provider_record_catalogue_anchor,M  38,792827,M  38,OpC,82.16708333333332,35.823888888888895,E,2021A&A...647A..19T
39,Messier 39,messier-39,cluster,object,provider_record_catalogue_anchor,M  39,70721,NGC  7092,OpC,322.88916666666654,48.246944444444445,E,2021A&A...647A..19T
40,Messier 40,messier-40,system,system,provider_record_catalogue_anchor,M  40,531482,M  40,?,185.54999999999998,58.083333333333336,E,
41,Messier 41,messier-41,cluster,object,provider_record_catalogue_anchor,M  41,930616,M  41,OpC,101.49916666666667,-20.716111111111108,E,2021A&A...647A..19T
42,Messier 42,messier-42,nebula,object,provider_record_catalogue_anchor,M  42,810146,M  42,HII,83.8201,-5.3876,D,2022A&A...661A..38P
43,Messier 43,messier-43,nebula,object,provider_record_catalogue_anchor,M  43,800918,M  43,HII,83.87916666666666,-5.27,E,
